Original,Target,Condition
(= (str.++ RewriteX "c") "c");RewriteX:String,(= RewriteX "");RewriteX:String, 
(mod RewriteX 1);RewriteX:Int,0:Int_Const,
(div RewriteX 1);RewriteX:Int,RewriteX;RewriteX:Int,
(ite (= RewriteZ 0) (- (div RewriteX RewriteZ)) (div RewriteX (- RewriteZ)));RewriteX:Int;RewriteZ:Int,(- (div RewriteX RewriteZ));RewriteX:Int;RewriteZ:Int,
(ite (= RewriteZ 0) (mod RewriteX RewriteZ) (mod RewriteX (- RewriteZ)));RewriteX:Int;RewriteZ:Int,(mod RewriteX RewriteZ);RewriteX:Int;RewriteZ:Int,
(ite (= RewriteZ 0) (mod RewriteX RewriteZ) (mod (mod RewriteX RewriteZ) RewriteZ));RewriteX:Int;RewriteZ:Int,(mod RewriteX RewriteZ);RewriteX:Int;RewriteZ:Int,
(ite (= RewriteZ 0) 0 (div (mod RewriteX RewriteZ) RewriteZ));RewriteX:Int;RewriteZ:Int,0:Int_Const,
(to_int RewriteX);RewriteX:Int,RewriteX;RewriteX:Int,
(is_int RewriteX);RewriteX:Int,true:Bool_Const,
(to_int real.pi),3:Int_Const,cvc5
(is_int real.pi),false:Bool_Const,cvc5
(to_int (to_real RewriteX));RewriteX:Int,(to_int RewriteX);RewriteX:Int,
(and (>= RewriteX RewriteZ) (<= RewriteX RewriteZ));RewriteX:Int;RewriteZ:Int,(= RewriteX RewriteZ);RewriteX:Int;RewriteZ:Int,
(and (>= RewriteX RewriteZ) (<= RewriteX RewriteZ));RewriteX:Real;RewriteZ:Real,(= RewriteX RewriteZ);RewriteX:Real;RewriteZ:Real,
(not (<= RewriteX RewriteZ));RewriteX:Int;RewriteZ:Int,(> RewriteX RewriteZ);RewriteX:Int;RewriteZ:Int,
(not (<= RewriteX RewriteZ));RewriteX:Real;RewriteZ:Real,(> RewriteX RewriteZ);RewriteX:Real;RewriteZ:Real,


(* RewriteX (* RewriteY RewriteZ));RewriteX:Int;RewriteY:Int;RewriteZ:Int,(* RewriteY (* RewriteX RewriteZ));RewriteX:Int;RewriteY:Int;RewriteZ:Int,
(- RewriteX (- RewriteY RewriteZ));RewriteX:Int;RewriteY:Int;RewriteZ:Int,(- RewriteZ (- RewriteY RewriteX));RewriteX:Int;RewriteY:Int;RewriteZ:Int,
